Municipios,Edad media de la población,Población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona,Distribución de la renta P80/P20,Índice de Gini
02030 Elche de la Sierra,45.9,3570.0,33.7,23.1,96.1,14.9,2.3,15974.0,14350.0,28963.0,12517.0,25444.0,10996.0,2.5,28.4
02031 Férez,49.1,619.0,49.8,29.1,95.0,12.3,2.0,15511.0,13650.0,24744.0,12331.0,22103.0,11015.0,2.4,33.3
02032 Fuensanta,54.3,297.0,53.2,32.7,91.9,7.4,1.9,16718.0,14350.0,26197.0,13864.0,22657.0,11990.0,2.3,30.6
02033 Fuente-Álamo,44.8,2438.0,31.8,21.9,88.6,15.9,2.4,15137.0,13650.0,27853.0,11707.0,24521.0,10307.0,2.4,29.2
02034 Fuentealbilla,46.4,1828.0,32.6,23.7,83.0,13.6,2.4,16171.0,14350.0,31180.0,12741.0,27010.0,11037.0,2.2,28.9
"02035 Gineta, La",41.6,2587.0,27.9,17.1,92.7,19.4,2.5,17536.0,15750.0,35038.0,13667.0,29968.0,11690.0,2.2,27.7
02036 Golosalvo,58.3,92.0,44.9,43.5,98.9,6.5,1.9,,,,,,,,
02037 Hellín,42.2,30240.0,29.1,17.4,90.0,17.4,2.6,15531.0,13650.0,31152.0,11921.0,26969.0,10320.0,2.4,29.4
"02038 Herrera, La",47.8,314.0,41.3,23.3,82.5,12.1,2.2,16848.0,14350.0,31425.0,14257.0,26664.0,12097.0,3.1,34.1
02039 Higueruela,48.6,1150.0,29.0,28.0,94.6,12.4,2.5,18131.0,16450.0,35175.0,14236.0,30395.0,12301.0,2.7,29.8
02040 Hoya-Gonzalo,50.1,613.0,27.6,30.2,95.3,10.4,2.7,19631.0,17850.0,41148.0,15059.0,34800.0,12736.0,2.6,27.8
02041 Jorquera,55.5,345.0,52.2,36.5,95.9,6.1,1.9,15414.0,12250.0,25366.0,13438.0,21976.0,11642.0,2.5,29.3
02042 Letur,50.4,928.0,42.7,28.2,96.1,8.6,2.1,15669.0,12950.0,26784.0,12807.0,21406.0,10236.0,2.7,31.4
02043 Lezuza,50.8,1302.0,36.1,28.6,95.0,9.1,2.3,16143.0,14350.0,29004.0,12791.0,25399.0,11202.0,2.2,28.2
02044 Liétor,52.2,1077.0,41.7,31.7,98.7,8.7,2.1,15499.0,14350.0,26065.0,12534.0,23135.0,11126.0,2.4,29.1
02045 Madrigueras,44.4,4680.0,26.6,22.6,90.8,17.8,2.6,17707.0,15750.0,35474.0,13747.0,30235.0,11717.0,2.6,29.6
02046 Mahora,44.3,1496.0,27.9,22.0,92.1,16.8,2.5,16021.0,14350.0,30856.0,12429.0,26944.0,10853.0,2.5,29.0
02047 Masegoso,56.4,139.0,39.7,38.1,100.0,5.8,2.0,23539.0,18550.0,41434.0,19961.0,34254.0,16502.0,2.2,32.6
02048 Minaya,49.5,1455.0,36.0,29.4,90.7,13.1,2.3,15634.0,14350.0,28205.0,12175.0,25085.0,10828.0,2.1,25.8
02049 Molinicos,55.4,829.0,51.1,38.6,97.4,7.2,1.8,16192.0,14350.0,24627.0,13433.0,21877.0,11933.0,2.3,28.5
02050 Montalvos,53.3,89.0,58.0,33.7,98.9,9.0,1.8,,,,,,,,
02051 Montealegre del Castillo,45.5,2001.0,32.1,23.8,90.6,14.7,2.4,15694.0,13650.0,29527.0,12141.0,26003.0,10692.0,2.4,29.3
02052 Motilleja,45.4,665.0,39.2,22.1,92.5,15.5,2.2,16173.0,15050.0,29123.0,13037.0,25594.0,11457.0,2.2,27.9
02053 Munera,46.3,3409.0,30.5,23.4,95.8,14.2,2.5,14894.0,13650.0,28086.0,11317.0,24938.0,10049.0,2.1,25.3
02054 Navas de Jorquera,46.8,516.0,33.0,27.3,78.5,13.8,2.4,15879.0,15050.0,29641.0,12065.0,26356.0,10728.0,2.3,27.9
02055 Nerpio,50.5,1175.0,42.7,28.4,98.2,9.8,2.1,14971.0,12950.0,25719.0,11906.0,22887.0,10595.0,2.6,29.3
02056 Ontur,47.5,1917.0,32.1,27.5,95.2,13.8,2.3,14654.0,13650.0,26038.0,11171.0,23550.0,10103.0,2.2,27.9
02057 Ossa de Montiel,48.0,2213.0,35.6,25.4,96.3,12.6,2.3,16304.0,15050.0,29062.0,12764.0,25456.0,11180.0,2.1,27.0
02058 Paterna del Madera,53.7,353.0,55.7,35.7,97.7,9.4,1.8,15306.0,12950.0,22922.0,12939.0,20314.0,11467.0,3.1,33.3
02059 Peñascosa,53.4,331.0,45.1,34.4,98.5,6.7,1.9,17317.0,17150.0,27235.0,14325.0,23870.0,12556.0,2.5,26.9
02060 Peñas de San Pedro,50.7,1447.0,61.6,28.0,98.8,8.2,1.7,19225.0,16450.0,30175.0,17876.0,25443.0,15073.0,2.5,29.5
02061 Pétrola,52.8,670.0,45.9,35.1,92.8,9.4,2.1,16679.0,14350.0,28812.0,13842.0,25183.0,12098.0,2.6,31.9
02062 Povedilla,52.8,396.0,46.3,31.1,96.0,7.3,1.9,14825.0,13650.0,23594.0,12127.0,21265.0,10930.0,2.4,26.9
02063 Pozohondo,49.5,1553.0,35.8,29.4,95.0,11.7,2.2,15572.0,14350.0,27626.0,12338.0,24447.0,10918.0,2.4,27.7
02064 Pozo-Lorente,54.3,390.0,41.6,36.4,95.6,4.9,2.0,19258.0,15050.0,33002.0,15980.0,28382.0,13743.0,2.9,33.9
02065 Pozuelo,52.1,469.0,51.0,29.4,99.2,6.4,1.9,18940.0,16450.0,30713.0,16085.0,26335.0,13792.0,2.6,29.8
"02066 Recueja, La",54.9,221.0,39.2,41.2,96.8,5.4,2.2,15915.0,14350.0,27554.0,12717.0,24432.0,11276.0,2.4,27.9
02067 Riópar,47.9,1323.0,34.4,24.5,97.3,12.7,2.2,15034.0,13650.0,26365.0,11783.0,23337.0,10430.0,2.4,29.4
02068 Robledo,47.7,396.0,41.9,22.7,95.7,11.4,2.2,17515.0,15750.0,31065.0,14034.0,27298.0,12333.0,2.2,26.7
"02069 Roda, La",42.7,15565.0,25.5,18.5,86.4,18.1,2.6,16749.0,15050.0,34413.0,13050.0,29313.0,11116.0,2.4,29.0
02070 Salobre,51.2,435.0,46.1,32.4,91.5,11.7,2.0,17141.0,13650.0,32026.0,15827.0,26260.0,12978.0,2.4,28.0
02071 San Pedro,48.1,1187.0,34.4,24.7,95.5,9.7,2.4,18782.0,16450.0,35638.0,14977.0,30468.0,12804.0,2.4,29.8
02072 Socovos,48.5,1671.0,40.8,27.3,95.8,11.9,2.1,13414.0,12250.0,22730.0,10485.0,20607.0,9505.0,2.4,29.0
02073 Tarazona de la Mancha,44.7,6115.0,34.5,21.4,92.7,16.2,2.4,15262.0,13650.0,28257.0,11942.0,24469.0,10341.0,2.4,29.0
02074 Tobarra,44.2,7786.0,30.8,20.6,86.4,16.7,2.5,14826.0,12950.0,28691.0,11343.0,25046.0,9902.0,2.4,29.7
02075 Valdeganga,47.4,1968.0,30.8,25.9,95.3,13.7,2.4,17148.0,15750.0,32501.0,13358.0,27985.0,11502.0,2.5,29.0
02076 Vianos,53.1,322.0,52.4,32.0,98.5,7.8,1.9,16173.0,13650.0,26947.0,13900.0,23313.0,12025.0,2.4,29.2
02077 Villa de Ves,50.2,61.0,53.3,24.6,82.0,3.3,2.0,,,,,,,,
02078 Villalgordo del Júcar,48.3,1110.0,35.9,25.3,91.7,11.8,2.3,14984.0,14350.0,27041.0,11754.0,23969.0,10419.0,2.3,27.4
02079 Villamalea,45.1,3919.0,26.3,21.7,82.1,15.2,2.5,15670.0,14350.0,30258.0,11883.0,26449.0,10387.0,2.2,26.9
02080 Villapalacios,51.3,556.0,36.8,29.9,92.1,8.5,2.2,17893.0,15050.0,33096.0,14676.0,28722.0,12736.0,2.7,30.6
02081 Villarrobledo,42.2,24915.0,25.3,17.8,87.8,18.2,2.7,16905.0,15750.0,35544.0,12959.0,30331.0,11058.0,2.2,27.5
02082 Villatoya,52.4,114.0,55.4,29.0,93.0,6.1,1.8,15975.0,15750.0,24119.0,13660.0,21037.0,11915.0,3.2,35.4
02083 Villavaliente,55.7,209.0,48.6,38.8,93.3,5.7,1.9,17126.0,15750.0,27771.0,14420.0,24695.0,12823.0,2.3,28.0
02084 Villaverde de Guadalimar,52.9,311.0,51.5,30.2,98.1,8.7,1.8,13823.0,12250.0,20844.0,11339.0,18773.0,10212.0,1.9,27.6
02085 Viveros,55.1,308.0,46.2,35.4,96.8,7.1,2.0,17493.0,15750.0,28568.0,14377.0,25090.0,12627.0,2.6,29.2
02086 Yeste,53.9,2474.0,43.0,36.2,98.5,9.4,2.0,14841.0,13650.0,24528.0,11783.0,22164.0,10647.0,2.3,27.8
02901 Pozo Cañada,43.7,2713.0,26.4,20.9,96.6,18.0,2.6,16067.0,14350.0,32245.0,12178.0,28015.0,10581.0,2.1,25.0
"03001 Atzúbia, l'",53.2,625.0,32.6,32.6,55.2,8.5,2.2,18644.0,17850.0,31949.0,13846.0,26571.0,11515.0,3.3,35.0
03002 Agost,44.3,5034.0,27.6,20.3,91.0,16.7,2.5,16330.0,15050.0,32257.0,12560.0,23392.0,9108.0,2.3,27.9
03003 Agres,47.0,619.0,38.0,24.2,87.7,13.6,2.2,19323.0,17850.0,34937.0,15639.0,29696.0,13293.0,2.5,27.1
03004 Aigües,45.2,1144.0,34.1,20.9,71.9,15.7,2.3,18959.0,17150.0,35548.0,15174.0,29189.0,12459.0,2.9,34.0
03005 Albatera,39.7,13072.0,23.7,15.4,78.0,21.1,2.8,14991.0,13650.0,31394.0,11157.0,27250.0,9685.0,2.6,28.8
03006 Alcalalí,54.6,1392.0,32.9,39.5,42.2,8.7,2.1,16547.0,14350.0,27437.0,12588.0,23550.0,10804.0,2.7,33.8
03007 Alcosser,47.3,260.0,30.7,19.6,86.5,10.8,2.3,22933.0,19250.0,44727.0,19423.0,36272.0,15752.0,2.1,32.8
