Municipios,Edad media de la población,Población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona,Distribución de la renta P80/P20,Índice de Gini
37225 Pajares de la Laguna,53.0,109.0,28.6,34.9,98.2,10.1,2.6,20839.0,17150.0,43249.0,16665.0,35758.0,13778.0,2.2,29.2
37226 Palacios del Arzobispo,58.7,153.0,42.1,45.1,98.0,4.6,2.0,16353.0,14350.0,28118.0,13874.0,24687.0,12181.0,3.0,33.0
37228 Palaciosrubios,58.9,306.0,33.3,43.1,98.7,2.9,2.1,17026.0,13650.0,29278.0,13727.0,25641.0,12022.0,2.3,31.8
37229 Palencia de Negrilla,54.3,147.0,50.0,32.7,98.6,10.9,1.9,18917.0,16450.0,31325.0,16622.0,26088.0,13842.0,2.3,31.5
37230 Parada de Arriba,47.4,259.0,28.6,23.2,96.1,13.1,2.3,16969.0,16450.0,31965.0,13823.0,27640.0,11953.0,2.4,27.1
37231 Parada de Rubiales,57.2,250.0,45.0,40.8,99.2,6.8,1.9,18026.0,16450.0,29782.0,15310.0,25664.0,13193.0,2.1,26.3
37232 Paradinas de San Juan,56.1,394.0,31.3,38.8,99.8,3.8,2.4,18855.0,17850.0,35898.0,14797.0,31466.0,12971.0,2.1,23.3
37233 Pastores,63.8,54.0,37.0,44.4,100.0,0.0,2.0,,,25161.0,13605.0,22167.0,11986.0,,
"37234 Payo, El",58.4,328.0,43.2,47.3,98.5,6.4,1.9,19195.0,15750.0,31896.0,16148.0,27718.0,14033.0,2.4,31.2
37235 Pedraza de Alba,50.9,225.0,37.6,29.3,96.9,8.4,2.2,15815.0,12950.0,27861.0,12369.0,24252.0,10767.0,2.0,27.7
37236 Pedrosillo de Alba,60.0,124.0,60.3,46.0,95.2,5.7,1.8,17540.0,15050.0,27802.0,15246.0,24397.0,13379.0,2.1,24.8
37237 Pedrosillo de los Aires,52.3,316.0,45.7,30.1,93.7,7.6,1.9,16492.0,16450.0,26807.0,13754.0,23475.0,12045.0,2.1,25.5
37238 Pedrosillo el Ralo,48.6,128.0,33.9,20.3,97.7,13.3,2.3,21232.0,18550.0,43449.0,18422.0,34464.0,14613.0,2.7,30.4
"37239 Pedroso de la Armuña, El",56.9,209.0,36.6,36.4,96.7,2.4,2.3,21191.0,18550.0,39945.0,17560.0,32511.0,14292.0,2.5,29.6
37240 Pelabravo,42.3,1291.0,30.8,16.3,96.1,17.9,2.4,19739.0,17850.0,38246.0,15623.0,32201.0,13154.0,2.4,29.0
37241 Pelarrodríguez,55.9,162.0,39.2,36.4,100.0,4.3,2.2,17681.0,15750.0,31171.0,14238.0,27432.0,12531.0,2.1,27.7
37242 Pelayos,61.7,74.0,37.1,55.4,100.0,1.4,2.1,,,34950.0,17334.0,29407.0,14585.0,,
"37243 Peña, La",61.0,72.0,44.7,47.2,100.0,0.0,1.9,,,29605.0,14850.0,25932.0,13008.0,,
37244 Peñacaballera,51.3,155.0,42.7,31.0,99.4,11.0,2.1,17205.0,17150.0,30211.0,14517.0,25957.0,12473.0,2.7,28.2
37245 Peñaparda,59.5,318.0,50.3,47.5,98.1,6.0,1.7,13535.0,12600.0,19237.0,11342.0,17708.0,10440.0,2.5,28.7
37246 Peñaranda de Bracamonte,47.0,6064.0,29.9,24.5,95.3,14.8,2.3,16309.0,15050.0,29994.0,12921.0,26056.0,11225.0,2.1,26.1
37247 Peñarandilla,53.5,187.0,40.2,35.8,97.3,5.4,2.3,21540.0,18550.0,40171.0,17494.0,33364.0,14529.0,2.5,33.5
37248 Peralejos de Abajo,54.4,157.0,51.2,33.8,96.8,5.7,1.9,15172.0,13650.0,27389.0,13859.0,23290.0,11785.0,3.4,35.1
37249 Peralejos de Arriba,61.5,35.0,47.4,57.1,100.0,0.0,1.8,,,29605.0,14850.0,25932.0,13008.0,,
37250 Pereña de la Ribera,61.0,313.0,51.4,46.7,99.4,4.5,1.8,17877.0,15750.0,27527.0,15451.0,24370.0,13679.0,2.3,27.5
37251 Peromingo,47.1,122.0,32.7,21.3,100.0,13.9,2.5,16670.0,15750.0,34076.0,13518.0,28628.0,11357.0,2.1,23.8
37252 Pinedas,66.4,107.0,46.0,60.8,100.0,2.8,2.1,14494.0,13650.0,24159.0,11289.0,22263.0,10403.0,1.8,21.9
"37253 Pino de Tormes, El",49.6,155.0,29.5,23.2,99.4,11.0,2.5,20888.0,17850.0,44996.0,17351.0,36758.0,14175.0,2.4,29.0
37254 Pitiegua,56.7,184.0,28.2,38.0,98.9,6.0,2.2,17046.0,13650.0,30221.0,13961.0,26504.0,12243.0,2.7,30.1
37255 Pizarral,53.3,57.0,56.0,26.3,89.5,1.8,2.3,,,34950.0,17334.0,29407.0,14585.0,,
37256 Poveda de las Cintas,59.6,200.0,43.9,44.5,98.5,5.0,1.9,14318.0,13650.0,22169.0,11808.0,20089.0,10701.0,2.0,24.5
37257 Pozos de Hinojo,56.1,54.0,36.0,37.0,96.3,7.4,2.2,,,29605.0,14850.0,25932.0,13008.0,,
37258 Puebla de Azaba,60.6,145.0,55.7,48.3,88.3,6.2,1.8,15892.0,14350.0,25032.0,13589.0,22514.0,12222.0,2.3,29.5
37259 Puebla de San Medel,59.4,33.0,55.6,33.3,100.0,0.0,1.8,,,26870.0,15315.0,23242.0,13247.0,,
37260 Puebla de Yeltes,57.2,142.0,50.7,46.5,99.3,9.9,1.9,14900.0,13300.0,23817.0,12162.0,21458.0,10957.0,2.0,24.7
37261 Puente del Congosto,59.2,224.0,51.6,40.2,98.7,6.7,1.8,18038.0,15050.0,28527.0,15792.0,24909.0,13789.0,2.0,28.1
37262 Puertas,53.2,67.0,46.4,44.8,100.0,9.0,2.4,,,29605.0,14850.0,25932.0,13008.0,,
37263 Puerto de Béjar,55.1,333.0,53.0,39.6,98.8,7.8,1.8,16911.0,14350.0,26152.0,14459.0,22819.0,12616.0,2.2,29.0
37264 Puerto Seguro,60.0,68.0,50.0,47.1,89.7,8.8,1.8,,,25161.0,13605.0,22167.0,11986.0,,
37265 Rágama,56.6,203.0,34.5,36.5,99.0,3.9,2.4,18654.0,15750.0,35668.0,14729.0,30540.0,12611.0,2.5,32.2
"37266 Redonda, La",54.8,64.0,54.3,37.5,98.4,6.3,1.8,,,29605.0,14850.0,25932.0,13008.0,,
37267 Retortillo,54.1,174.0,47.2,36.8,96.6,7.5,2.0,16436.0,16450.0,26885.0,13923.0,23624.0,12234.0,1.8,23.4
"37268 Rinconada de la Sierra, La",63.4,107.0,47.4,50.5,99.1,1.9,1.9,18088.0,15750.0,29402.0,15533.0,25628.0,13539.0,2.6,27.2
37269 Robleda,52.6,448.0,39.8,33.3,95.5,9.6,2.1,17967.0,15750.0,32014.0,14571.0,27676.0,12597.0,2.2,27.1
37270 Robliza de Cojos,51.7,191.0,34.2,31.4,97.9,6.8,2.3,20527.0,17850.0,39462.0,16792.0,33549.0,14276.0,2.2,26.8
37271 Rollán,56.8,343.0,37.4,40.8,97.7,5.3,2.1,17308.0,15050.0,29435.0,13893.0,25892.0,12220.0,2.3,26.1
37272 Saelices el Chico,47.1,173.0,40.0,28.9,95.4,19.7,2.7,17895.0,17850.0,35876.0,13349.0,30933.0,11510.0,2.9,27.1
"37273 Sagrada, La",64.3,85.0,44.2,49.4,97.7,3.5,2.0,,,37895.0,19000.0,31468.0,15778.0,,
37274 Salamanca,48.1,142132.0,37.6,28.4,92.4,13.7,2.2,20446.0,17850.0,38314.0,17425.0,31674.0,14405.0,2.8,32.7
37275 Saldeana,64.4,105.0,45.5,61.0,97.1,4.8,1.9,17517.0,14350.0,28997.0,14921.0,25808.0,13280.0,2.7,28.5
37276 Salmoral,65.1,113.0,50.0,49.6,100.0,1.8,1.8,19419.0,18550.0,29276.0,16468.0,26016.0,14634.0,2.3,23.5
37277 Salvatierra de Tormes,59.5,78.0,61.0,46.2,93.6,3.9,1.9,,,34950.0,17334.0,29407.0,14585.0,,
37278 San Cristóbal de la Cuesta,40.9,1103.0,32.6,11.5,95.0,17.8,2.4,19460.0,16450.0,38433.0,16098.0,31703.0,13279.0,2.6,30.5
37279 Sancti-Spíritus,53.3,743.0,35.4,33.5,97.6,8.9,2.3,16355.0,15750.0,29265.0,12873.0,25820.0,11358.0,2.1,24.2
37280 Sanchón de la Ribera,55.4,71.0,48.6,38.0,100.0,11.3,2.0,,,29605.0,14850.0,25932.0,13008.0,,
37281 Sanchón de la Sagrada,63.6,36.0,38.9,50.0,100.0,0.0,2.0,,,37895.0,19000.0,31468.0,15778.0,,
37282 Sanchotello,53.2,224.0,40.9,34.8,96.4,10.7,2.0,15034.0,14350.0,25052.0,12245.0,22300.0,10900.0,2.0,23.9
37283 Sando,57.4,118.0,49.2,39.0,93.2,2.5,1.9,19537.0,16450.0,31451.0,16258.0,26951.0,13932.0,2.9,32.6
37284 San Esteban de la Sierra,55.7,360.0,47.0,36.4,97.2,7.8,1.9,18225.0,17150.0,31266.0,15720.0,26849.0,13499.0,2.8,30.7
37285 San Felices de los Gallegos,59.3,355.0,47.4,49.9,98.6,5.6,1.8,16399.0,14350.0,25757.0,14082.0,22561.0,12335.0,2.0,27.9
37286 San Martín del Castañar,58.2,240.0,52.2,35.8,97.1,3.3,1.8,16738.0,15050.0,27390.0,15268.0,23400.0,13044.0,2.4,29.6
37287 San Miguel de Valero,52.8,318.0,31.1,33.3,95.6,10.4,2.4,16512.0,16450.0,30677.0,13023.0,26965.0,11447.0,2.3,26.5
37288 San Morales,44.6,354.0,30.7,18.6,94.6,15.8,2.5,20391.0,17150.0,40473.0,15797.0,34447.0,13445.0,1.9,32.1
37289 San Muñoz,57.8,214.0,45.7,43.5,89.7,5.6,2.0,16315.0,13650.0,26846.0,13043.0,23401.0,11369.0,2.3,34.9
37290 San Pedro del Valle,54.3,149.0,41.4,35.6,97.3,6.0,2.1,22755.0,22050.0,41890.0,19530.0,35152.0,16389.0,2.3,27.8
37291 San Pedro de Rozados,53.1,278.0,51.0,29.9,98.9,5.4,1.9,18385.0,16450.0,30452.0,15782.0,26307.0,13634.0,2.2,25.0
37292 San Pelayo de Guareña,50.3,93.0,45.8,30.1,98.9,7.5,1.9,,,35880.0,17417.0,29249.0,14198.0,,
37293 Santa María de Sando,61.7,98.0,46.2,48.0,95.9,4.1,1.9,,,35880.0,17417.0,29249.0,14198.0,,
37294 Santa Marta de Tormes,43.4,14511.0,25.4,18.0,96.3,16.2,2.5,21332.0,18550.0,44189.0,17537.0,36214.0,14372.0,2.5,30.1
37296 Santiago de la Puebla,60.8,290.0,44.9,47.6,96.9,2.1,1.9,15290.0,14350.0,23748.0,12775.0,21422.0,11524.0,2.0,23.9
37297 Santibáñez de Béjar,52.8,451.0,63.8,31.5,95.6,8.0,1.6,15693.0,13650.0,22316.0,13860.0,19585.0,12164.0,2.9,33.9
37298 Santibáñez de la Sierra,58.6,156.0,42.1,47.4,98.7,7.1,2.0,15636.0,15050.0,25345.0,12264.0,23124.0,11189.0,2.2,25.8
37299 Santiz,55.2,247.0,28.0,34.8,99.6,6.9,2.3,15805.0,14350.0,29061.0,12455.0,25630.0,10984.0,2.2,29.0
"37300 Santos, Los",52.7,582.0,36.4,31.4,97.6,9.1,2.2,17719.0,16450.0,32063.0,14298.0,27986.0,12480.0,2.2,25.0
37301 Sardón de los Frailes,56.8,98.0,39.6,40.8,99.0,5.1,2.0,,,35880.0,17417.0,29249.0,14198.0,,
37302 Saucelle,57.4,255.0,43.3,41.2,92.6,5.1,2.1,17672.0,17150.0,30442.0,14376.0,26964.0,12733.0,2.0,23.7
"37303 Sahugo, El",60.4,177.0,40.7,45.8,100.0,2.8,2.2,18995.0,17850.0,33093.0,15042.0,29132.0,13242.0,2.1,25.8
37304 Sepulcro-Hilario,59.9,162.0,51.7,49.4,97.5,8.0,1.8,16973.0,15050.0,26633.0,14557.0,23045.0,12596.0,2.4,29.7
37305 Sequeros,57.0,215.0,50.0,39.5,99.1,6.5,1.9,17574.0,15050.0,27825.0,14495.0,24171.0,12591.0,2.6,29.0
37306 Serradilla del Arroyo,58.3,247.0,62.7,44.1,98.8,7.7,1.6,16090.0,13650.0,23395.0,14879.0,20329.0,12929.0,2.7,33.0
37307 Serradilla del Llano,60.1,145.0,51.4,46.9,100.0,4.1,2.0,14897.0,13650.0,23227.0,11452.0,21446.0,10574.0,1.9,24.3
"37309 Sierpe, La",58.4,43.0,38.9,37.2,100.0,4.7,2.4,,,26870.0,15315.0,23242.0,13247.0,,
37310 Sieteiglesias de Tormes,49.9,114.0,40.4,26.3,98.3,11.4,2.4,22744.0,19950.0,46661.0,17405.0,39760.0,14831.0,2.4,31.8
37311 Sobradillo,60.1,182.0,49.0,46.7,100.0,5.5,1.9,17166.0,14350.0,27698.0,14538.0,24487.0,12852.0,2.2,28.4
37312 Sorihuela,53.9,257.0,54.4,33.9,97.3,8.2,1.9,18069.0,15750.0,28166.0,15022.0,24441.0,13035.0,2.4,29.1
37313 Sotoserrano,56.2,530.0,35.7,37.4,99.6,5.1,2.2,16345.0,15750.0,28924.0,13062.0,25571.0,11548.0,2.2,27.3
37314 Tabera de Abajo,47.4,102.0,32.4,20.6,100.0,16.7,2.8,28637.0,21350.0,67179.0,24369.0,51836.0,18803.0,2.8,38.7
"37315 Tala, La",58.7,78.0,40.0,42.3,96.2,6.4,1.9,,,34950.0,17334.0,29407.0,14585.0,,
37316 Tamames,52.5,794.0,35.4,33.4,96.5,9.1,2.3,18158.0,16450.0,33244.0,14616.0,28464.0,12514.0,2.3,28.0
37317 Tarazona de Guareña,59.2,273.0,39.1,44.0,100.0,4.0,2.0,15831.0,13300.0,26997.0,13102.0,23491.0,11400.0,2.1,32.2
37318 Tardáguila,56.8,192.0,41.8,33.3,99.5,3.1,2.1,20358.0,19950.0,36132.0,17125.0,31002.0,14694.0,2.9,30.4
"37319 Tejado, El",55.9,91.0,63.2,28.6,97.8,4.4,1.6,,,26870.0,15315.0,23242.0,13247.0,,
37320 Tejeda y Segoyuela,55.2,95.0,44.2,41.1,90.5,9.5,2.2,,,26870.0,15315.0,23242.0,13247.0,,
37321 Tenebrón,61.6,135.0,40.6,47.4,96.3,3.7,2.0,14604.0,12950.0,23811.0,12170.0,21370.0,10922.0,2.1,26.3
37322 Terradillos,42.8,3098.0,31.2,17.0,92.4,15.8,2.4,15946.0,14350.0,30528.0,12699.0,26446.0,11001.0,2.3,27.9
37323 Topas,50.8,512.0,39.3,30.7,98.1,9.8,2.1,18061.0,15050.0,31647.0,14673.0,27028.0,12532.0,2.4,28.5
37324 Tordillos,61.5,325.0,38.9,48.0,98.8,3.4,2.1,19483.0,17150.0,33406.0,16138.0,28700.0,13864.0,2.6,30.8
"37325 Tornadizo, El",63.2,87.0,42.6,51.7,100.0,0.0,1.9,,,26870.0,15315.0,23242.0,13247.0,,
37327 Torresmenudas,55.7,185.0,31.7,35.1,100.0,3.8,2.3,21055.0,18550.0,39799.0,17640.0,33742.0,14956.0,2.5,28.8
37328 Trabanca,55.8,175.0,54.1,41.1,96.0,8.6,1.8,16515.0,14350.0,25165.0,14029.0,21781.0,12142.0,2.8,35.1
37329 Tremedal de Tormes,59.4,37.0,31.3,32.4,97.3,2.7,2.3,,,35880.0,17417.0,29249.0,14198.0,,
37330 Valdecarros,55.1,314.0,37.6,37.9,99.0,7.6,2.2,19809.0,17150.0,36091.0,16206.0,30711.0,13791.0,2.3,28.9
37331 Valdefuentes de Sangusín,60.2,187.0,45.5,49.2,98.9,5.4,1.9,16813.0,15050.0,27028.0,14171.0,23984.0,12575.0,2.4,27.0
37332 Valdehijaderos,52.6,83.0,48.9,37.4,95.2,12.1,1.8,,,26870.0,15315.0,23242.0,13247.0,,
37333 Valdelacasa,53.0,197.0,32.6,30.5,98.0,7.1,2.3,16448.0,15050.0,32302.0,13627.0,27571.0,11632.0,2.2,22.2
37334 Valdelageve,56.4,69.0,39.4,39.1,97.1,5.8,2.1,,,26870.0,15315.0,23242.0,13247.0,,
37335 Valdelosa,51.4,408.0,36.8,31.4,98.5,9.6,2.4,19866.0,18200.0,37894.0,15465.0,32742.0,13363.0,2.3,27.6
37336 Valdemierque,48.7,58.0,40.7,24.1,100.0,10.3,2.1,,,34950.0,17334.0,29407.0,14585.0,,
37337 Valderrodrigo,55.7,131.0,25.9,36.6,99.2,1.5,2.4,19464.0,17850.0,37104.0,15295.0,32545.0,13416.0,2.6,26.9
37338 Valdunciel,49.6,101.0,42.2,25.7,95.1,12.9,2.2,23007.0,22050.0,44077.0,19638.0,35844.0,15970.0,2.5,31.0
37339 Valero,55.7,304.0,36.7,40.8,99.3,7.6,2.4,14752.0,12950.0,26410.0,11120.0,23814.0,10027.0,2.3,30.8
37340 Valsalabroso,61.5,119.0,38.5,48.7,98.3,1.7,2.3,18580.0,17850.0,34125.0,14583.0,29865.0,12763.0,2.6,25.2
37341 Valverde de Valdelacasa,55.5,54.0,43.3,33.3,83.3,11.1,1.8,,,26870.0,15315.0,23242.0,13247.0,,
37342 Valverdón,49.5,267.0,30.2,24.7,98.1,10.9,2.3,19584.0,17150.0,37516.0,16219.0,31569.0,13648.0,2.3,27.5
37343 Vallejera de Riofrío,49.3,68.0,52.8,20.6,100.0,8.8,1.9,,,26870.0,15315.0,23242.0,13247.0,,
37344 Vecinos,52.8,227.0,41.4,33.5,96.0,7.9,2.0,16204.0,15050.0,28241.0,13616.0,24317.0,11724.0,2.5,30.2
37345 Vega de Tirados,54.5,159.0,42.9,40.9,94.3,8.2,2.3,24502.0,22400.0,45584.0,20068.0,37823.0,16652.0,3.2,31.0
"37346 Veguillas, Las",52.9,262.0,48.5,34.0,95.4,9.9,2.0,16263.0,15050.0,27432.0,13411.0,24092.0,11779.0,2.0,26.8
"37347 Vellés, La",46.8,520.0,34.9,19.8,96.5,12.9,2.3,21231.0,18550.0,40103.0,17574.0,33509.0,14684.0,2.2,28.5
37348 Ventosa del Río Almar,57.8,104.0,41.5,38.5,100.0,6.7,2.0,18081.0,15750.0,30413.0,15354.0,26699.0,13479.0,2.6,32.1
"37349 Vídola, La",55.4,112.0,29.8,37.5,89.3,8.0,2.4,18213.0,15050.0,33744.0,14601.0,28976.0,12538.0,2.7,30.2
37350 Vilvestre,58.9,394.0,45.6,48.5,98.0,7.1,2.1,17949.0,15750.0,30288.0,14563.0,26600.0,12790.0,2.3,26.5
37351 Villaflores,59.5,260.0,35.5,45.4,100.0,5.0,2.1,17720.0,14350.0,30397.0,14367.0,26039.0,12307.0,2.2,32.9
37352 Villagonzalo de Tormes,49.0,229.0,66.4,27.5,100.0,7.9,1.6,19871.0,17850.0,31613.0,19273.0,26147.0,15940.0,2.8,29.9
37353 Villalba de los Llanos,58.1,113.0,36.7,38.9,98.2,2.7,2.3,20313.0,17150.0,37137.0,15868.0,31846.0,13607.0,2.7,30.9
37354 Villamayor,40.4,7520.0,24.8,12.6,97.2,20.7,2.6,21862.0,19250.0,46412.0,17823.0,37705.0,14479.0,2.4,29.7
37355 Villanueva del Conde,59.4,168.0,55.6,42.3,95.8,4.8,1.7,18997.0,16450.0,29954.0,16660.0,25910.0,14411.0,3.0,32.4
37356 Villar de Argañán,56.8,97.0,50.0,40.2,96.9,4.1,1.9,,,25161.0,13605.0,22167.0,11986.0,,
37357 Villar de Ciervo,62.7,266.0,49.0,52.3,98.1,5.6,1.8,16797.0,15750.0,24845.0,13928.0,22091.0,12384.0,2.3,25.3
37358 Villar de Gallimazo,55.3,182.0,34.6,37.4,85.7,3.9,2.3,24272.0,20650.0,48582.0,19582.0,39206.0,15802.0,2.4,32.8
37359 Villar de la Yegua,63.8,160.0,55.9,46.9,95.6,1.9,1.6,14793.0,12950.0,20734.0,13123.0,18497.0,11707.0,2.0,31.1
37360 Villar de Peralonso,51.7,211.0,34.8,32.7,96.2,8.5,2.3,17491.0,15050.0,31549.0,13756.0,27438.0,11963.0,2.6,26.6
37361 Villar de Samaniego,59.9,79.0,37.8,44.3,100.0,6.3,2.1,,,29605.0,14850.0,25932.0,13008.0,,
37362 Villares de la Reina,39.1,6556.0,24.7,11.6,96.6,22.1,2.6,20148.0,17850.0,41903.0,16089.0,34636.0,13298.0,2.4,29.6
37363 Villares de Yeltes,61.4,101.0,51.8,50.5,98.0,4.0,1.8,19597.0,15050.0,30558.0,16943.0,25868.0,14343.0,2.4,33.3
37364 Villarino de los Aires,57.9,761.0,46.8,41.5,97.8,4.7,1.9,20982.0,18550.0,35488.0,18217.0,30284.0,15546.0,2.4,28.4
37365 Villarmayor,53.8,165.0,38.7,35.2,97.0,6.1,2.2,18025.0,16800.0,33253.0,15115.0,28000.0,12727.0,2.3,27.0
37366 Villarmuerto,64.1,39.0,50.0,51.3,100.0,0.0,1.9,,,29605.0,14850.0,25932.0,13008.0,,
37367 Villasbuenas,61.6,168.0,48.3,56.0,99.4,2.4,1.9,18313.0,16450.0,29857.0,15375.0,26177.0,13480.0,2.5,30.3
37368 Villasdardo,45.3,23.0,33.3,26.1,95.7,21.7,2.6,,,35880.0,17417.0,29249.0,14198.0,,
37369 Villaseco de los Gamitos,51.4,130.0,48.5,26.2,97.7,6.2,1.9,15896.0,12950.0,25758.0,13378.0,21927.0,11388.0,2.3,34.4
37370 Villaseco de los Reyes,58.9,297.0,41.2,39.1,98.7,2.4,2.2,18947.0,18550.0,33810.0,15295.0,29538.0,13362.0,3.1,29.1
37371 Villasrubias,60.4,245.0,41.1,50.2,97.6,4.1,1.9,16091.0,15750.0,24827.0,13029.0,22213.0,11657.0,2.0,23.9
37372 Villaverde de Guareña,59.7,142.0,47.4,46.5,99.3,7.0,1.9,23812.0,22050.0,38751.0,20612.0,32770.0,17431.0,2.4,26.2
37373 Villavieja de Yeltes,56.5,696.0,40.6,39.1,98.3,6.2,2.1,18356.0,15750.0,32533.0,15553.0,27767.0,13275.0,2.2,29.7
37374 Villoria,48.7,1271.0,28.4,27.4,97.7,12.4,2.4,16724.0,15750.0,31687.0,13135.0,27479.0,11391.0,2.2,24.5
37375 Villoruela,52.8,739.0,32.1,35.5,97.0,10.7,2.4,16331.0,15050.0,30436.0,12778.0,26803.0,11253.0,2.0,25.7
37376 Vitigudino,48.8,2338.0,31.0,27.5,96.0,13.4,2.3,17774.0,16450.0,33264.0,14262.0,28459.0,12202.0,2.3,27.5
37377 Yecla de Yeltes,57.6,221.0,31.6,43.9,99.1,7.2,2.3,19407.0,17850.0,35746.0,15851.0,31017.0,13754.0,2.2,24.3
37378 Zamarra,68.1,75.0,50.0,56.0,100.0,0.0,1.8,,,25161.0,13605.0,22167.0,11986.0,,
37379 Zamayón,44.7,191.0,41.6,17.8,100.0,13.1,2.1,15750.0,13650.0,27560.0,12765.0,24167.0,11193.0,2.3,28.0
37380 Zarapicos,53.2,61.0,54.3,29.5,91.8,6.6,1.7,,,35880.0,17417.0,29249.0,14198.0,,
"37381 Zarza de Pumareda, La",62.2,136.0,61.4,49.3,97.8,0.0,1.6,18731.0,15750.0,27034.0,17422.0,23213.0,14960.0,2.7,33.1
37382 Zorita de la Frontera,60.5,151.0,45.3,45.0,99.3,1.3,2.0,17075.0,15750.0,28393.0,14007.0,25163.0,12414.0,2.2,25.2
38001 Adeje,40.5,49954.0,30.7,12.5,51.7,16.0,2.6,16795.0,15050.0,34162.0,12511.0,28513.0,10442.0,2.8,34.8
38002 Agulo,52.6,1123.0,41.4,34.1,92.5,7.8,2.2,19062.0,17850.0,32876.0,14846.0,28635.0,12931.0,2.3,29.8
38003 Alajeró,46.6,1985.0,42.8,22.5,86.7,11.8,2.2,19520.0,17850.0,35225.0,15187.0,30092.0,12974.0,2.2,26.4
38004 Arafo,44.2,5679.0,26.6,18.6,95.8,15.2,2.7,18925.0,17150.0,39804.0,14560.0,33740.0,12342.0,2.5,29.2
38005 Arico,44.1,8898.0,36.5,18.4,82.0,14.3,2.3,16494.0,15050.0,30522.0,12705.0,26340.0,10964.0,2.6,30.3
38006 Arona,41.7,85402.0,32.5,14.6,60.7,15.4,2.5,15380.0,13650.0,30548.0,11511.0,26310.0,9914.0,2.9,32.6
38007 Barlovento,49.4,1968.0,32.1,27.9,90.9,11.6,2.6,16965.0,14350.0,31402.0,11909.0,28830.0,10934.0,2.9,32.6
38008 Breña Alta,44.6,7219.0,25.8,19.4,92.4,14.8,2.6,21219.0,17850.0,41288.0,15438.0,37346.0,13964.0,2.7,32.4
38009 Breña Baja,44.0,5948.0,29.3,17.4,89.4,14.9,2.6,23582.0,19950.0,45322.0,17150.0,40639.0,15378.0,2.9,33.1
38010 Buenavista del Norte,48.1,4720.0,27.1,26.0,93.2,11.6,2.6,16348.0,14350.0,31816.0,11936.0,28141.0,10557.0,2.2,27.6
38011 Candelaria,43.3,28740.0,31.8,17.9,92.6,16.0,2.5,21155.0,19250.0,42622.0,16922.0,35352.0,14036.0,2.7,30.5
38012 Fasnia,47.2,2958.0,37.9,22.8,91.2,12.1,2.3,18388.0,16450.0,34324.0,14610.0,29071.0,12374.0,2.6,29.8
38013 Frontera,45.4,4423.0,29.1,23.0,82.1,13.8,2.8,16877.0,15050.0,35202.0,12393.0,30183.0,10626.0,3.0,32.9
38014 Fuencaliente de la Palma,46.4,1808.0,43.8,22.8,86.0,12.8,2.2,17630.0,15750.0,29096.0,13175.0,26684.0,12083.0,2.6,31.7
38015 Garachico,47.8,4836.0,24.8,25.3,93.0,12.9,2.7,16966.0,14350.0,35234.0,12754.0,30622.0,11085.0,2.3,28.4
38016 Garafía,48.2,1881.0,42.3,25.8,69.3,11.3,2.2,13771.0,12950.0,21188.0,9193.0,19619.0,8512.0,3.2,36.1
38017 Granadilla de Abona,39.9,54213.0,27.7,12.0,74.3,17.6,2.8,16277.0,14350.0,35005.0,12213.0,29976.0,10458.0,2.5,30.8
"38018 Guancha, La",45.2,5479.0,23.8,21.7,94.7,15.3,2.7,16659.0,15050.0,33814.0,12180.0,29842.0,10750.0,2.2,26.8
38019 Guía de Isora,42.1,21980.0,29.1,16.5,76.8,15.9,2.7,16310.0,15050.0,33724.0,11938.0,29298.0,10372.0,2.3,27.7
38020 Güímar,43.6,20885.0,29.4,18.2,93.7,15.3,2.6,18180.0,16450.0,37180.0,14005.0,31814.0,11984.0,2.5,29.3
38021 Hermigua,49.8,1943.0,35.2,26.1,89.7,8.3,2.4,18412.0,16450.0,34019.0,13956.0,29699.0,12184.0,2.5,29.8
38022 Icod de los Vinos,45.2,23798.0,26.5,21.1,90.8,14.1,2.7,15558.0,13650.0,31415.0,11502.0,27582.0,10099.0,2.4,30.0
38023 San Cristóbal de La Laguna,43.6,157354.0,28.8,18.0,93.9,14.1,2.6,19484.0,16450.0,40665.0,15363.0,34087.0,12878.0,2.9,32.8
"38024 Llanos de Aridane, Los",44.3,20149.0,29.1,19.3,87.8,14.7,2.7,18846.0,15750.0,36477.0,13408.0,33344.0,12257.0,2.8,34.0
"38025 Matanza de Acentejo, La",42.9,9024.0,24.3,16.4,94.3,15.8,2.8,17701.0,15750.0,37606.0,13341.0,32182.0,11416.0,2.5,29.0
"38026 Orotava, La",43.5,42328.0,23.3,18.2,94.7,15.5,2.8,17683.0,15050.0,37704.0,13366.0,32261.0,11436.0,2.5,29.6
"38027 Paso, El",45.1,7868.0,26.1,21.0,86.0,14.0,2.7,19832.0,16450.0,38708.0,13876.0,35222.0,12626.0,2.7,32.4
38028 Puerto de la Cruz,48.1,31058.0,40.9,26.9,79.9,11.5,2.2,18864.0,15750.0,35352.0,15274.0,29512.0,12751.0,2.9,34.9
38029 Puntagorda,46.5,2255.0,31.5,23.0,72.8,13.0,2.6,14678.0,12250.0,27854.0,9937.0,25485.0,9092.0,3.6,36.5
